Date : 2025-10-15 06:14:53
Directory : c:\Users\ppain\repos\python\p3_budman
Total : 101 files,  26406 codes, 7882 comments, 959 blanks, all 35247 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Python             |         76 |     12,434 |      7,474 |        748 |     20,656 |
| Draw.io            |          2 |     10,440 |          0 |          2 |     10,442 |
| XML                |          4 |      1,550 |        296 |          4 |      1,850 |
| TOML               |          4 |        590 |         81 |         16 |        687 |
| Markdown           |          3 |        515 |          1 |        180 |        696 |
| JSON with Comments |          4 |        257 |         29 |          0 |        286 |
| CSV                |          1 |        248 |          0 |          1 |        249 |
| JSON               |          4 |        195 |          0 |          3 |        198 |
| pip requirements   |          1 |        164 |          0 |          1 |        165 |
| Ini                |          1 |         12 |          0 |          1 |         13 |
| Shell Script       |          1 |          1 |          1 |          3 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |        101 |     26,406 |      7,882 |        959 |     35,247 |
| . (Files)                                                                                                                              |         14 |      1,921 |        223 |        104 |      2,248 |
| src                                                                                                                                    |         68 |     22,877 |      7,174 |        786 |     30,837 |
| src (Files)                                                                                                                            |          1 |        369 |         71 |          1 |        441 |
| src\budget_domain_model                                                                                                                |          3 |      1,308 |        774 |         66 |      2,148 |
| src\budget_storage_model                                                                                                               |          5 |        881 |        578 |         44 |      1,503 |
| src\budman_app                                                                                                                         |          4 |      1,004 |        278 |         17 |      1,299 |
| src\budman_app (Files)                                                                                                                 |          2 |        192 |        124 |         15 |        331 |
| src\budman_app\diagrams                                                                                                                |          2 |        812 |        154 |          2 |        968 |
| src\budman_cli_view                                                                                                                    |          5 |      1,158 |        448 |         90 |      1,696 |
| src\budman_command_processor                                                                                                           |          3 |        856 |        366 |         26 |      1,248 |
| src\budman_data_context                                                                                                                |          5 |      1,065 |        891 |        134 |      2,090 |
| src\budman_namespace                                                                                                                   |          4 |        549 |        257 |         14 |        820 |
| src\budman_notebooks                                                                                                                   |          3 |        100 |         68 |         41 |        209 |
| src\budman_settings                                                                                                                    |          3 |         80 |         52 |         10 |        142 |
| src\budman_view_model                                                                                                                  |          2 |        692 |        792 |         16 |      1,500 |
| src\budman_workflows                                                                                                                   |          7 |      2,514 |      1,208 |         96 |      3,818 |
| src\docs                                                                                                                               |          3 |     10,566 |          0 |         76 |     10,642 |
| src\p3_mvvm                                                                                                                            |         10 |        816 |        857 |         74 |      1,747 |
| src\scripts                                                                                                                            |         10 |        919 |        534 |         81 |      1,534 |
| tests                                                                                                                                  |         19 |      1,608 |        485 |         69 |      2,162 |
| tests (Files)                                                                                                                          |          3 |         34 |         58 |         10 |        102 |
| tests\test_bdm_store                                                                                                                   |          1 |        127 |         31 |          4 |        162 |
| tests\test_budman_data_context_interface                                                                                               |          3 |        453 |        157 |         14 |        624 |
| tests\test_budman_domain_model                                                                                                         |          5 |        517 |        181 |         28 |        726 |
| tests\test_budman_storage_model                                                                                                        |          1 |         26 |         17 |          4 |         47 |
| tests\test_budman_view_model                                                                                                           |          2 |        145 |         41 |          6 |        192 |
| tests\testdata                                                                                                                         |          4 |        306 |          0 |          3 |        309 |
| tests\testdata\BDM_STORE                                                                                                               |          4 |        306 |          0 |          3 |        309 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\ppain\repos\python\p3_budman\All.category_map.toml                                                                            | TOML               |        530 |         73 |          1 |        604 |
| c:\Users\ppain\repos\python\p3_budman\README.md                                                                                        | Markdown           |        325 |          1 |         81 |        407 |
| c:\Users\ppain\repos\python\p3_budman\budget_model_config.jsonc                                                                        | JSON with Comments |         29 |         11 |          0 |         40 |
| c:\Users\ppain\repos\python\p3_budman\budget_model_logging_config.jsonc                                                                | JSON with Comments |         61 |         18 |          0 |         79 |
| c:\Users\ppain\repos\python\p3_budman\budman_model.svg                                                                                 | XML                |        369 |         71 |          1 |        441 |
| c:\Users\ppain\repos\python\p3_budman\level_2_categories.csv                                                                           | CSV                |        248 |          0 |          1 |        249 |
| c:\Users\ppain\repos\python\p3_budman\main.py                                                                                          | Python             |         67 |         41 |          3 |        111 |
| c:\Users\ppain\repos\python\p3_budman\p3_budman.code-workspace                                                                         | JSON with Comments |         50 |          0 |          0 |         50 |
| c:\Users\ppain\repos\python\p3_budman\pyproject.toml                                                                                   | TOML               |         13 |          0 |          3 |         16 |
| c:\Users\ppain\repos\python\p3_budman\pyrightconfig.json                                                                               | JSON               |          6 |          0 |          0 |          6 |
| c:\Users\ppain\repos\python\p3_budman\pytest.ini                                                                                       | Ini                |         12 |          0 |          1 |         13 |
| c:\Users\ppain\repos\python\p3_budman\requirements.txt                                                                                 | pip requirements   |        164 |          0 |          1 |        165 |
| c:\Users\ppain\repos\python\p3_budman\settings_example.toml                                                                            | TOML               |         18 |          8 |          5 |         31 |
| c:\Users\ppain\repos\python\p3_budman\src\budget_domain_model\__init__.py                                                              | Python             |         14 |         10 |          2 |         26 |
| c:\Users\ppain\repos\python\p3_budman\src\budget_domain_model\budget_domain_model.py                                                   | Python             |        966 |        638 |         48 |      1,652 |
| c:\Users\ppain\repos\python\p3_budman\src\budget_domain_model\budget_domain_model_config.py                                            | Python             |        328 |        126 |         16 |        470 |
| c:\Users\ppain\repos\python\p3_budman\src\budget_storage_model\__init__.py                                                             | Python             |         61 |         13 |          4 |         78 |
| c:\Users\ppain\repos\python\p3_budman\src\budget_storage_model\bsm_file.py                                                             | Python             |         82 |         45 |          9 |        136 |
| c:\Users\ppain\repos\python\p3_budman\src\budget_storage_model\bsm_file_tree.py                                                        | Python             |        197 |         58 |         15 |        270 |
| c:\Users\ppain\repos\python\p3_budman\src\budget_storage_model\budget_storage_model.py                                                 | Python             |        464 |        386 |         12 |        862 |
